--------- beginning of crash
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-commit-id:722d4d057786ee46754f9b77939cdc75d12fa06f
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-change-id:I4573b37dc671335b64083430a22026f187852e25
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-merge-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.373  1212  1317 I libGLES_mali: mtk-brm-commit-id:b8cb4240da48dc7bb5e0797774fab31af08ef59d
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-change-id:Iba9e1f53e8a0b631534505f1ee6bc05742c31af5
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-merge-id:none
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-commit-id:8783a29bae0ae84a456239f3212f27bdafa94c91
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-change-id:Iee598bb542f5de895a4b71649fbc79b2d93bc3de
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-merge-id:none
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:56.922  1437  1437 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-merge-id:none
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-commit-id:9504ca4d9fe90b18cc868bffca3317a0b06d4f0e
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-change-id:I1329c9c99dd4a140cd413bfc9aec757077413c57
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-merge-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 18:09:01.103  5976  5976 E AndroidRuntime: FATAL EXCEPTION: main
07-11 18:09:01.103  5976  5976 E AndroidRuntime: Process: com.zarz.spotiflac, PID: 5976
07-11 18:09:01.103  5976  5976 E AndroidRuntime: java.lang.RuntimeException: Unable to stop service com.ryanheise.audioservice.AudioService@a52b5e0: java.lang.RuntimeException: Cannot execute operation because FlutterJNI is not attached to native.
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.handleStopService(ActivityThread.java:5239)
07-11 21:17:12.845  1737  1737 I ChimeraSrvcProxy: com.google.android.location.internal.server.HardwareArProviderService returning NullBinder for action com.android.location.service.ActivityRecognitionProvider
07-11 21:17:12.847  2445  2445 E SmsApplication: com.truecaller lost android:receive_wap_push:  (fixing)
07-11 21:17:12.849  2199  2206 I ndroid.systemui: Background young concurrent mark compact GC freed 22MB AllocSpace bytes, 50(1064KB) LOS objects, 44% free, 27MB/49MB, paused 954us,8.144ms total 127.975ms
07-11 21:17:12.851  1737  3440 I NearbyDiscovery: (REDACTED) FastPairHandler: Received action %s
07-11 21:17:12.852  1861  6237 W AppOpService: Ignored setUidMode call for runtime permission app op: uid = 10251, code = RECEIVE_WAP_PUSH, mode = allow, callingUid = 1001, oldMode = allow
07-11 21:17:12.853  2445  2445 E SmsApplication: com.truecaller lost android:read_cell_broadcasts:  (fixing)
07-11 21:17:12.854  1861  2603 W AppOpService: Ignored setUidMode call for runtime permission app op: uid = 10251, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
07-11 21:17:12.859  1212  2760 I SurfaceFlinger: onHandleDestroyed: name=ActivityRecord{216b7bc u0 com.instagram.android/.activity.MainTabActivity#32394, layerId=32394, parentId=0
07-11 21:17:12.860  1212  2760 I SurfaceFlinger: onHandleDestroyed: name=ActivityRecord{396cd85 u0 com.instagram.android/com.instagram.modal.ModalActivity#33484, layerId=33484, parentId=0
07-11 21:17:12.865  1737  3440 I NearbyDiscovery: (REDACTED) PureOffloadFastPairScanner: eventType=%s, isInternalReq=%s, isScanning=%s, isScanningAllowed=%s
07-11 21:17:12.866  1737  3440 I NearbyDiscovery: PureOffloadFastPairScanner: Skipping stop, already stopped scanning [CONTEXT service_id=265 ]
07-11 21:17:12.867  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.867  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.867  2199  2208 W System  : A resource failed to call HardwareBuffer.close. 
07-11 21:17:12.867  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.867  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.867  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.867  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.868  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.868  2199  2208 W System  : A resource failed to call release. 
07-11 21:17:12.869  1737  3440 I NearbyDiscovery: (REDACTED) ApFastPairScanner: isScreenOn=%s, isLocationEnabled=%s, disableLocationRequirement=%s, isDiscoveryScanningEnabled=%s, during24GhzWifiWarmingUpPeriod=%s
07-11 21:17:12.870  1737  3440 I NearbyDiscovery: (REDACTED) ApFastPairScanner: eventType=%s, intReq=%s, scanning=%s, scanAllowed=%s, bleEnabled=%s, lockScanRate=%s, startScanningByLowPowerMode=%s
07-11 21:17:12.873  1737  3440 I NearbyDiscovery: (REDACTED) BleRecoveryHelper: BLE is not always available, resets retry count and skip. eventType=%s
07-11 21:17:12.873  1212  1212 I BufferQueueDebug: [ActivityRecord{396cd85 u0 com.instagram.android/com.instagram.modal.ModalActivity#33484](this:0xb400007667af3920,id:-1,api:0,p:-1,c:1212) onDestructor()
07-11 21:17:12.874  1861  1882 I ServiceWatcher: [HardwareActivityRecognitionProxy] connected to {com.google.android.gms/com.google.android.location.internal.server.HardwareArProviderService}
07-11 21:17:12.874  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:17:12.874  1212  1212 I BufferQueueDebug: [ActivityRecord{216b7bc u0 com.instagram.android/.activity.MainTabActivity#32394](this:0xb400007667c24450,id:-1,api:0,p:-1,c:1212) onDestructor()
07-11 21:17:12.875  1861  1882 E Parcel  : Reading a NULL string not supported here.
07-11 21:17:12.875  1861  2367 W AppOpService: Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_SMS, mode = allow, callingUid = 1001, oldMode = allow
07-11 21:17:12.876  1861  1980 I RoleService: Granting default roles...
07-11 21:17:12.878  1861  2367 W AppOpService: Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_SMS, mode = allow, callingUid = 1001, oldMode = allow
07-11 21:17:12.878  1861  1882 E ARProxy : Unknown descriptor: 
07-11 21:17:12.879  1861  1897 I ActivityManager: Start proc 3555:com.google.android.permissioncontroller/u0a219 for service {com.google.android.permissioncontroller/com.android.permissioncontroller.permission.service.PermissionControllerServiceImpl}
07-11 21:17:12.880  1861  6570 W AppOpService: Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_WAP_PUSH, mode = allow, callingUid = 1001, oldMode = allow
07-11 21:17:12.881  1861  1879 W AppOpService: Ignored setUidMode call for runtime permission app op: uid = 1001, code = SEND_SMS, mode = allow, callingUid = 1001, oldMode = allow
07-11 21:17:12.882  1861  1879 W AppOpService: Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
07-11 21:17:12.883  1861  1882 I ServiceWatcher: [network] connected to {com.google.android.gms/com.google.android.location.network.NetworkLocationService}
07-11 21:17:12.885  1861  2367 I LocationManagerService: network provider loaded extra attribution tags: [activity_recognition_provider, awareness_provider, current_semantic_location, fused_location_provider, geofencer_provider, gnss_location_provider, network_location_calibration, network_location_provider, wearable_flp_shim]
07-11 21:17:12.905  3555  3555 I ssioncontroller: Using generational CollectorTypeCMC GC.
07-11 21:17:12.907  1861  1882 I ServiceWatcher: [RealLocationTimeZoneProviderProxy] connected to {com.google.android.gms/com.google.android.gms.geotimezone.GeoTimeZoneService}
07-11 21:17:12.914  1861  1882 I ServiceWatcher: [fused] connected to {com.google.android.gms/com.google.android.location.fused.FusedLocationService}
07-11 21:17:12.915  1861  2367 I LocationManagerService: fused provider loaded extra attribution tags: [activity_recognition_provider, awareness_provider, current_semantic_location, fused_location_provider, geofencer_provider, gnss_location_provider, network_location_calibration, network_location_provider, wearable_flp_shim]
07-11 21:17:12.921  1861  1882 I ServiceWatcher: [GeocoderProxy] connected to {com.google.android.gms/com.google.android.gms.location.geocode.GeocodeService}
07-11 21:17:12.925  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:17:12.935  1861  2387 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.gms.supervision
07-11 21:17:12.935  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:17:12.937  1861  2387 I Role    : com.google.android.gms not qualified for android.app.role.SYSTEM_CALL_STREAMING due to missing RequiredComponent{mFlags='0', mIntentFilterData=IntentFilterData{mAction='android.telecom.CallStreamingService', mCategories='[]', mDataScheme='null', mDataType='null'}, mMetaData=[], mPermission='android.permission.BIND_CALL_STREAMING_SERVICE', mQueryFlags=0} Requirement{mFeatureFlag=null, mMinTargetSdkVersion=1}
07-11 21:17:12.937  1861  2387 E RoleControllerServiceImpl: Default/fallback role holder package doesn't qualify for the role, package: com.google.android.gms, role: android.app.role.SYSTEM_CALL_STREAMING, user: 0
07-11 21:17:12.937  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:17:12.940  1861  2387 W SignedPackage: Package doesn't have required signing certificate: com.google.android.apps.work.clouddpc
07-11 21:17:12.950  1861  2387 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.as
07-11 21:17:12.974  1861  2387 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.as
07-11 21:17:12.975  1861  2387 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.as
07-11 21:17:12.988  1861  2387 E AppOpService: Blocked setUidMode call for runtime permission app op: uid = 10130, code = FINE_LOCATION, mode = foreground, callingUid = 1000, oldMode = allow
07-11 21:17:12.988  1861  2387 E AppOpService: java.lang.RuntimeException
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.server.permission.access.appop.AppOpService.setUidMode(AppOpService.kt:268)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsCheckingServiceTracingDecorator.setUidMode(AppOpsCheckingServiceTracingDecorator.java:120)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2130)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2059)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at android.app.AppOpsManager.setUidMode(AppOpsManager.java:8107)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpModeAsUser(Permissions.java:908)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpUidModeAsUser(Permissions.java:885)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantPermissionAndAppOpAsUser(Permissions.java:373)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantSingleAsUser(Permissions.java:247)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantAsUser(Permissions.java:205)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.model.Role.grantAsUser(Role.java:947)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.addRoleHolderInternal(RoleControllerServiceImpl.java:380)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.onGrantDefaultRoles(RoleControllerServiceImpl.java:163)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.lambda$grantDefaultRoles$1(LocalRoleController.java:56)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.$r8$lambda$ye-flP7Mf14AbTzwSmiTgndT6Cg(LocalRoleController.java:0)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController$$ExternalSyntheticLambda1.run(R8$$SyntheticClass:0)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at android.os.Handler.handleCallback(Handler.java:959)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at android.os.Handler.dispatchMessage(Handler.java:100)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at android.os.Looper.loopOnce(Looper.java:234)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at android.os.Looper.loop(Looper.java:319)
07-11 21:17:12.988  1861  2387 E AppOpService: 	at android.os.HandlerThread.run(HandlerThread.java:85)
07-11 21:17:12.989  1861  2387 E AppOpService: Blocked setUidMode call for runtime permission app op: uid = 10130, code = COARSE_LOCATION, mode = foreground, callingUid = 1000, oldMode = allow
07-11 21:17:12.989  1861  2387 E AppOpService: java.lang.RuntimeException
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.server.permission.access.appop.AppOpService.setUidMode(AppOpService.kt:268)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsCheckingServiceTracingDecorator.setUidMode(AppOpsCheckingServiceTracingDecorator.java:120)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2130)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2059)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at android.app.AppOpsManager.setUidMode(AppOpsManager.java:8107)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpModeAsUser(Permissions.java:908)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpUidModeAsUser(Permissions.java:885)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantPermissionAndAppOpAsUser(Permissions.java:373)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantSingleAsUser(Permissions.java:247)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantAsUser(Permissions.java:205)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.model.Role.grantAsUser(Role.java:947)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.addRoleHolderInternal(RoleControllerServiceImpl.java:380)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.onGrantDefaultRoles(RoleControllerServiceImpl.java:163)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.lambda$grantDefaultRoles$1(LocalRoleController.java:56)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.$r8$lambda$ye-flP7Mf14AbTzwSmiTgndT6Cg(LocalRoleController.java:0)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController$$ExternalSyntheticLambda1.run(R8$$SyntheticClass:0)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at android.os.Handler.handleCallback(Handler.java:959)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at android.os.Handler.dispatchMessage(Handler.java:100)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at android.os.Looper.loopOnce(Looper.java:234)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at android.os.Looper.loop(Looper.java:319)
07-11 21:17:12.989  1861  2387 E AppOpService: 	at android.os.HandlerThread.run(HandlerThread.java:85)
07-11 21:17:13.002  1861  2387 E AppOpService: Blocked setUidMode call for runtime permission app op: uid = 10251, code = CAMERA, mode = foreground, callingUid = 1000, oldMode = allow
07-11 21:17:13.002  1861  2387 E AppOpService: java.lang.RuntimeException
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.server.permission.access.appop.AppOpService.setUidMode(AppOpService.kt:268)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsCheckingServiceTracingDecorator.setUidMode(AppOpsCheckingServiceTracingDecorator.java:120)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2130)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2059)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at android.app.AppOpsManager.setUidMode(AppOpsManager.java:8107)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpModeAsUser(Permissions.java:908)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpUidModeAsUser(Permissions.java:885)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantPermissionAndAppOpAsUser(Permissions.java:373)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantSingleAsUser(Permissions.java:247)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantAsUser(Permissions.java:205)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.model.Role.grantAsUser(Role.java:947)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.addRoleHolderInternal(RoleControllerServiceImpl.java:380)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.onGrantDefaultRoles(RoleControllerServiceImpl.java:163)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.lambda$grantDefaultRoles$1(LocalRoleController.java:56)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.$r8$lambda$ye-flP7Mf14AbTzwSmiTgndT6Cg(LocalRoleController.java:0)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController$$ExternalSyntheticLambda1.run(R8$$SyntheticClass:0)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at android.os.Handler.handleCallback(Handler.java:959)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at android.os.Handler.dispatchMessage(Handler.java:100)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at android.os.Looper.loopOnce(Looper.java:234)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at android.os.Looper.loop(Looper.java:319)
07-11 21:17:13.002  1861  2387 E AppOpService: 	at android.os.HandlerThread.run(HandlerThread.java:85)
07-11 21:17:13.008  1861  2387 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.as
07-11 21:17:13.011  1861  2387 E AppOpService: Blocked setUidMode call for runtime permission app op: uid = 10251, code = CAMERA, mode = foreground, callingUid = 1000, oldMode = allow
07-11 21:17:13.011  1861  2387 E AppOpService: java.lang.RuntimeException
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.server.permission.access.appop.AppOpService.setUidMode(AppOpService.kt:268)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsCheckingServiceTracingDecorator.setUidMode(AppOpsCheckingServiceTracingDecorator.java:120)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2130)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.server.appop.AppOpsService.setUidMode(AppOpsService.java:2059)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at android.app.AppOpsManager.setUidMode(AppOpsManager.java:8107)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpModeAsUser(Permissions.java:908)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.setAppOpUidModeAsUser(Permissions.java:885)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantPermissionAndAppOpAsUser(Permissions.java:373)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantSingleAsUser(Permissions.java:247)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.model.Permissions.grantAsUser(Permissions.java:205)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.model.Role.grantAsUser(Role.java:947)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.addRoleHolderInternal(RoleControllerServiceImpl.java:380)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.controller.service.RoleControllerServiceImpl.onGrantDefaultRoles(RoleControllerServiceImpl.java:163)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.lambda$grantDefaultRoles$1(LocalRoleController.java:56)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController.$r8$lambda$ye-flP7Mf14AbTzwSmiTgndT6Cg(LocalRoleController.java:0)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at com.android.role.LocalRoleController$$ExternalSyntheticLambda1.run(R8$$SyntheticClass:0)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at android.os.Handler.handleCallback(Handler.java:959)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at android.os.Handler.dispatchMessage(Handler.java:100)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at android.os.Looper.loopOnce(Looper.java:234)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at android.os.Looper.loop(Looper.java:319)
07-11 21:17:13.011  1861  2387 E AppOpService: 	at android.os.HandlerThread.run(HandlerThread.java:85)
07-11 21:17:13.025  1861  2387 E RoleControllerServiceImpl: Default/fallback role holder package doesn't qualify for the role, package: com.google.android.gms, role: android.app.role.WALLET, user: 0
07-11 21:17:13.029  1861  2387 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.googlequicksearchbox
07-11 21:17:13.030  1861  2387 E RoleControllerServiceImpl: Default/fallback role holder package doesn't qualify for the role, package: com.google.android.devicelockcontroller, role: android.app.role.SYSTEM_FINANCED_DEVICE_CONTROLLER, user: 0
07-11 21:17:13.034  1861  2387 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.as
07-11 21:17:13.090  1861  1895 W MagnificationConnectionManager: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
07-11 21:17:13.219  3555  3555 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package com.android.permission.flags cannot be found on the device
07-11 21:17:13.243  3555  3555 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package android.permission.flags cannot be found on the device
07-11 21:17:13.243  3555  3555 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package android.app.admin.flags cannot be found on the device
07-11 21:17:13.243  3555  3555 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package android.companion cannot be found on the device
07-11 21:17:13.243  3555  3555 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package android.content.pm cannot be found on the device
